time_ms, ldr_signal_1, ldr_signal_2
0,911,915
50,911,914
100,911,915
151,911,915
201,911,915
252,911,915
303,911,915
354,911,915
404,911,915
454,911,915
505,911,915
556,911,915
607,911,915
657,911,914
707,911,915
758,911,915
808,911,915
860,911,915
910,911,915
960,911,915
1011,911,914
1061,911,915
1113,911,915
1163,911,915
1213,911,915
1264,911,915
1314,911,915
1366,911,915
1416,911,915
1467,911,915
1517,911,915
1567,911,915
1618,911,915
1669,911,915
1720,911,915
1770,911,915
1821,911,915
1871,911,915
1922,911,915
1973,911,915
2023,911,915
2074,911,915
2124,911,915
2174,911,915
2226,911,915
2276,911,915
2327,911,914
2377,911,915
2428,911,914
2479,911,914
2529,911,915
2580,911,914
2630,912,915
2681,911,915
2732,911,915
2783,911,915
2833,911,915
2883,911,915
2934,911,915
2984,911,915
3036,911,915
3086,911,915
3137,911,915
3187,911,915
3237,911,915
3289,911,915
3339,911,915
3390,911,915
3440,911,915
3490,911,915
3542,911,915
3592,911,915
3643,911,915
3693,911,915
3744,911,915
3794,911,915
3845,911,915
3896,911,915
3946,911,915
3997,911,915
4047,911,915
4099,911,915
4149,911,915
4199,911,915
4250,911,914
4300,911,915
4352,911,915
4402,911,915
4453,911,915
4503,911,915
4553,911,914
4604,912,915
4655,911,915
4706,911,915
4756,911,915
4806,911,914
4857,911,915
4908,911,915
4959,911,915
5009,911,915
5060,911,915
5110,912,915
5160,911,915
5212,911,915
5262,911,915
5313,911,915
5363,911,915
5414,912,915
5465,911,915
5515,911,915
5566,911,915
5616,911,915
5667,911,915
5718,911,915
5769,911,915
5819,911,915
5869,911,915
5920,911,915
5970,911,915
6022,911,915
6072,911,915
6122,911,915
6173,911,915
6223,911,915
6275,911,915
6325,912,915
6376,911,915
6426,911,915
6476,912,915
6528,911,915
6578,911,915
6629,911,915
6679,911,915
6730,911,914
6780,911,914
6831,911,915
6882,911,915
6932,911,914
6983,911,914
7033,911,915
7085,911,915
7135,911,915
7185,911,915
7236,911,915
7286,911,915
7337,911,915
7388,911,915
7438,911,915
7489,911,914
7539,911,914
7590,911,914
7641,911,915
7692,911,915
7742,911,914
7792,911,915
7843,911,914
7894,911,915
7945,911,914
7995,911,914
8046,911,915
8096,911,914
8146,911,914
8198,911,915
8248,911,914
8299,911,914
8349,911,914
8400,911,914
8451,911,915
8501,912,914
8552,911,915
8602,911,914
8653,911,914
8704,911,914
8754,911,914
8805,911,914
8855,911,914
8906,911,914
8956,911,914
9008,911,914
9058,911,914
9108,911,914
9159,911,914
9209,911,914
9261,911,914
9311,912,914
9362,911,914
9412,911,915
9462,911,914
9513,911,914
9564,911,914
9615,911,914
9665,911,914
9716,911,914
9766,911,914
9817,911,914
9868,910,914
9918,911,914
9969,910,914
10019,911,914
10070,911,914
10121,911,915
10171,911,914
10222,911,914
10272,911,914
10323,911,914
10374,911,914
10425,911,914
10475,911,914
10525,911,915
10576,911,914
10627,911,914
10678,911,914
10728,911,914
10779,911,914
10829,911,914
10881,911,914
10931,911,913
10981,911,914
11032,911,914
11082,911,914
11133,911,914
11184,911,914
11235,911,914
11285,911,914
11335,911,914
11386,910,915
11437,910,914
11488,910,914
11538,911,915
11589,911,914
11639,911,914
11691,911,915
11741,911,914
11791,911,914
11842,911,914
11892,911,914
11943,911,915
11994,911,914
12045,911,914
12095,911,914
12146,911,914
12196,911,914
12247,911,914
12298,911,915
12348,911,915
12399,911,914
12449,911,914
12500,911,914
12551,911,913
12601,911,914
12652,911,914
12702,911,914
12753,911,914
12804,911,914
12855,911,914
12905,911,914
12956,911,914
13006,911,914

13057,911,914
13108,911,915
13158,910,914
13209,911,914
13259,911,914
13310,911,914
13361,911,914
13412,910,914
13462,910,914
13512,911,915
13563,911,914
13614,910,915
13665,911,914
13715,911,914
13766,911,914
13816,911,914
13867,911,914
13918,911,914
13968,911,914
14019,911,913
14069,910,914
14120,910,914
14171,910,914
14222,910,914
14272,910,913
14322,911,914
14373,910,914
14424,910,913
14475,910,914
14525,910,914
14576,910,914
14626,910,914
14678,911,914
14728,911,915
14778,910,914
14829,910,914
14879,911,913
14930,911,914
14981,910,914
15032,911,914
15082,911,913
15132,910,913
15183,911,914
15234,911,913
15285,911,914
15335,911,914
15386,910,914
15436,910,914
15488,910,914
15538,911,914
15588,910,914
15639,910,914
15689,910,914
15740,910,913
15791,910,914
15842,910,914
15892,910,914
15942,911,914
15993,910,913
16044,910,914
16095,911,913
16145,910,914
16196,911,914
16246,910,914
16297,911,915
16348,911,913
16398,911,914
16449,911,914
16499,911,914
16550,910,914
16601,911,914
16652,911,914
16702,911,914
16753,911,914
16803,911,914
16854,911,914
16905,911,913
16955,910,913
17006,911,914
17056,910,914
17107,910,914
17158,910,914
17208,910,914
17259,911,914
17309,910,914
17360,910,914
17411,910,914
17462,911,913
17512,910,914
17563,910,915
17613,910,914
17664,910,913
17715,910,914
17765,910,914
17816,911,914
17866,911,914
17917,911,914
