time_ms, ldr_signal_1, ldr_signal_2
0,968,974
50,969,974
100,968,974
151,968,974
201,968,974
252,968,974
303,968,974
354,968,974
404,968,974
454,967,974
505,968,974
556,968,974
607,968,974
657,967,974
707,969,974
758,969,974
808,968,974
860,968,974
910,968,974
960,969,974
1011,968,974
1061,968,974
1113,968,974
1163,968,974
1213,968,974
1264,968,975
1314,968,975
1366,968,974
1416,968,974
1467,969,974
1517,968,975
1567,968,975
1618,968,974
1669,968,974
1720,968,974
1770,968,974
1821,968,975
1871,968,975
1922,969,974
1973,968,975
2023,968,974
2074,968,974
2124,968,974
2174,968,974
2226,968,974
2276,968,975
2327,968,974
2377,967,974
2428,968,974
2479,968,973
2529,968,973
2580,967,973
2630,969,973
2681,968,973
2732,968,974
2783,968,973
2833,968,973
2883,968,975
2934,968,974
2984,967,973
3036,967,974
3086,968,973
3137,968,973
3187,968,973
3237,967,973
3289,967,973
3339,967,973
3390,967,973
3440,968,973
3490,968,974
3542,968,973
3592,967,973
3643,968,974
3693,967,973
3744,968,974
3794,968,973
3845,967,974
3896,968,973
3946,968,973
3997,967,974
4047,967,973
4099,967,973
4149,968,973
4199,967,973
4250,967,973
4300,967,973
4352,968,973
4402,968,973
4453,968,974
4503,968,974
4553,968,973
4604,967,973
4655,968,973
4706,967,974
4756,968,973
4806,967,973
4857,968,974
4908,968,974
4959,968,973
5009,968,974
5060,968,973
5110,968,973
5160,967,973
5212,968,973
5262,967,973
5313,967,974
5363,968,974
5414,967,974
5465,968,973
5515,968,973
5566,967,973
5616,968,973
5667,967,973
5718,967,973
5769,968,974
5819,967,973
5869,968,974
5920,967,973
5970,967,974
6022,968,975
6072,969,974
6122,969,973
6173,967,974
6223,968,973
6275,968,975
6325,968,974
6376,968,974
6426,969,974
6476,968,974
6528,968,974
6578,969,974
6629,968,974
6679,968,973
6730,968,974
6780,968,974
6831,969,974
6882,969,974
6932,968,975
6983,968,975
7033,967,974
7085,968,974
7135,968,974
7185,968,974
7236,967,973
7286,967,973
7337,968,974
7388,968,974
7438,968,974
7489,967,974
7539,967,974
7590,968,975
7641,968,974
7692,967,974
7742,968,973
7792,967,974
7843,968,974
7894,967,974
7945,968,974
7995,968,974
8046,969,974
8096,968,974
8146,969,974
8198,969,974
8248,968,975
8299,968,974
8349,970,974
8400,969,975
8451,969,974
8501,969,975
8552,969,975
8602,969,974
8653,969,974
8704,968,974
8754,969,974
8805,968,975
8855,968,975
8906,968,975
8956,968,974
9008,968,974
9058,969,974
9108,968,974
9159,968,975
9209,968,974
9261,969,975
9311,968,974
9362,969,974
9412,968,974
9462,969,975
9513,968,974
9564,968,974
9615,968,974
9665,968,974
9716,969,974
9766,968,974
9817,968,974
9868,968,974
9918,968,974
9969,968,974
10019,968,974
10071,968,975
10121,968,974
10171,968,974
10222,969,974
10272,968,974
10323,969,974
10374,968,974
10425,969,974
10475,968,974
10525,968,974
10576,969,974
10627,968,974
10678,968,974
10728,968,974
10779,968,974
10829,968,974
10881,969,974
10931,968,974
10981,968,974
11032,968,974
11082,968,974
11133,968,975
11184,968,974
11235,968,975
11285,968,974
11335,968,974
11386,968,974
11437,968,974
11488,968,975
11538,968,974
11589,968,974
11639,968,974
11691,968,973
11741,967,974
11791,968,974
11842,968,974
11892,968,975
11943,967,974
11994,968,975
12045,969,973
12095,968,974
12146,968,975
12196,968,975
12247,967,974
12298,968,974
12348,968,974
12399,968,974
12449,968,974
12500,968,974
12551,968,974
12601,968,974
12652,968,974
12702,968,974
12753,967,974
12804,969,974
12855,967,974
12905,968,974
12956,968,975
13006,968,973

13057,968,974
13108,968,974
13158,967,974
13209,968,974
13259,968,973
13310,968,975
13361,969,974
13412,968,974
13462,968,973
13512,967,974
13563,967,974
13614,968,974
13665,968,974
13715,969,974
13766,968,975
13816,968,975
13867,968,974
13918,969,974
13968,968,975
14019,968,974
14069,968,974
14120,969,974
14171,968,974
14222,968,974
14272,968,975
14322,968,975
14373,969,974
14424,969,974
14475,968,974
14525,968,975
14576,968,974
14626,967,974
14678,969,974
14728,968,975
14778,968,973
14829,968,975
14879,969,973
14930,968,975
14981,968,975
15032,969,973
15082,967,973
15132,968,974
15183,967,974
15234,968,974
15285,968,974
15335,967,974
15386,967,974
15436,968,974
15488,968,973
15538,968,973
15588,968,974
15639,968,974
15689,968,974
15740,968,973
15791,968,974
15842,968,973
15892,968,975
15942,967,974
15993,968,974
16044,968,974
16095,968,974
16145,968,974
16196,968,974
16246,968,974
16297,969,974
16348,968,974
16398,968,974
16449,968,974
16499,969,974
16550,968,975
16601,968,974
16652,968,974
16702,968,975
16753,969,974
16803,968,974
16854,968,975
16905,968,974
16955,968,974
17006,969,974
17056,969,975
17107,969,975
17158,969,975
17208,969,974
17259,969,975
17309,968,974
17360,969,975
17411,969,974
17462,969,974
17512,968,974
17563,968,974
17613,969,974
17664,968,974
17715,968,974
17765,968,974
17816,968,974
17866,968,974
17917,968,974
17968,968,974
18019,968,974
18069,968,974
18119,968,974
18170,969,974
18221,969,974
18272,968,975
18322,969,974
18373,969,975
18423,969,974
18473,969,974
18525,969,975
18575,969,974
18626,968,974
18676,969,974
18727,968,975
18778,969,975
18829,969,974
18879,968,974
18929,968,974
18980,968,974
19031,969,974
19082,968,974
19132,969,974
19183,969,974
19233,968,974
19283,968,975
19335,968,974
19385,969,974
19436,969,975
19486,969,975
19537,969,975
19588,969,975
19639,969,975
19689,970,975
19739,970,976
19790,969,975
19841,969,975
19892,969,975
19942,969,974
19993,969,975
20043,968,975
20094,968,975
20145,968,975
20195,968,974
20246,969,974
20296,968,974
20347,969,974
20398,968,974
20449,969,974
20499,968,974
20549,968,974
20600,969,974
20651,969,973
20702,967,974
20752,968,975
20803,969,974
20853,968,975
20904,969,974
20955,969,975
21005,969,974
21056,969,975
21106,970,975
21157,969,975
21208,969,975
21259,969,975
21309,969,975
21360,969,975
