time_ms, ldr_signal_1, ldr_signal_2
0,1007,1009
50,1007,1009
101,1007,1010
151,1007,1009
201,1007,1010
252,1007,1010
303,1007,1010
354,1007,1009
404,1007,1010
455,1007,1009
505,1007,1010
556,1007,1009
607,1008,1009
657,1007,1009
708,1007,1010
758,1007,1009
809,1007,1009
860,1007,1009
911,1007,1009
961,1007,1009
1011,1007,1010
1062,1007,1009
1113,1007,1009
1164,1007,1010
1214,1007,1010
1265,1007,1009
1315,1007,1009
1367,1008,1009
1417,1007,1009
1468,1008,1010
1518,1007,1009
1568,1007,1009
1619,1007,1009
1670,1007,1010
1721,1007,1010
1771,1007,1010
1822,1007,1009
1872,1007,1009
1924,1007,1010
1974,1007,1009
2025,1008,1009
2075,1007,1009
2125,1007,1009
2177,1007,1009
2227,1007,1010
2278,1007,1009
2328,1007,1010
2379,1007,1009
2429,1007,1009
2481,1007,1009
2531,1008,1010
2582,1007,1009
2632,1007,1008
2682,1008,1009
2734,1007,1010
2784,1007,1009
2835,1007,1009
2885,1007,1010
2936,1007,1009
2987,1007,1009
3038,1007,1009
3088,1007,1009
3139,1007,1009
3189,1007,1009
3240,1007,1009
3291,1007,1010
3341,1007,1010
3392,1007,1009
3442,1007,1010
3493,1007,1009
3544,1007,1009
3595,1007,1010
3645,1007,1009
3696,1007,1010
3746,1007,1009
3798,1008,1009
3848,1007,1009
3898,1008,1009
3949,1007,1010
3999,1008,1009
4050,1007,1010
4101,1007,1010
4152,1008,1010
4202,1007,1009
4253,1008,1009
4303,1007,1010
4355,1007,1009
4405,1007,1009
4455,1007,1009
4506,1008,1009
4556,1007,1009
4608,1008,1009
4658,1007,1010
4709,1007,1010
4759,1008,1009
4810,1008,1009
4860,1007,1010
4912,1007,1009
4962,1007,1009
5012,1007,1009
5063,1007,1009
5113,1008,1009
5165,1007,1009
5215,1008,1010
5266,1007,1010
5316,1008,1009
5367,1007,1009
5417,1007,1009
5469,1007,1009
5519,1008,1009
5570,1007,1010
5620,1007,1010
5670,1007,1010
5722,1007,1009
5772,1007,1009
5823,1007,1010
5873,1007,1009
5924,1007,1010
5975,1007,1009
6026,1007,1009
6076,1007,1009
6127,1007,1009
6177,1007,1009
6227,1007,1010
6279,1007,1009
6329,1007,1009
6380,1007,1010
6430,1008,1010
6481,1007,1010
6532,1007,1009
6583,1007,1009
6633,1007,1009
6684,1008,1010
6734,1007,1009
6785,1007,1010
6836,1007,1009
6886,1008,1010
6937,1007,1010
6987,1007,1010
7038,1007,1009
7089,1007,1009
7140,1007,1009
7190,1007,1009
7241,1007,1009
7291,1007,1009
7342,1007,1009
7393,1007,1010
7443,1007,1010
7494,1007,1008
7544,1008,1010
7596,1007,1009
7646,1008,1009
7697,1007,1010
7747,1007,1009
7798,1007,1009
7848,1007,1009
7900,1007,1009
7950,1007,1009
8000,1007,1009
8051,1007,1009
8101,1007,1010
8153,1008,1009
8203,1008,1010
8254,1008,1009
8304,1007,1010
8355,1007,1009
8406,1008,1010
8457,1007,1010
8507,1007,1009
8557,1007,1010
8608,1007,1010
8658,1007,1010
8710,1008,1009
8760,1007,1010
8811,1007,1010
8861,1007,1009
8912,1007,1009
8963,1007,1010
9014,1007,1010
9064,1009,1010
9114,1007,1009
9165,1007,1009
9216,1007,1009
9267,1007,1009
9317,1007,1009
9368,1007,1009
9418,1007,1010
9469,1007,1009
9520,1008,1009
9571,1007,1009
9621,1007,1009
9671,1007,1009
9722,1007,1009
9773,1007,1010
9824,1008,1009
9874,1007,1010
9925,1008,1009
9975,1007,1009
10027,1007,1010
10077,1007,1009
10128,1007,1009
10178,1007,1010
10229,1007,1009
10279,1007,1009
10331,1007,1010
10381,1007,1010
10431,1007,1010
10482,1007,1009
10532,1007,1009
10584,1007,1009
10634,1008,1009
10685,1007,1010
10735,1007,1009
10786,1008,1009
10836,1007,1010
10888,1007,1009
10938,1007,1009
10989,1008,1009
11039,1007,1009
11090,1008,1009
11141,1007,1010
11192,1008,1009
11242,1007,1009
11292,1008,1009
11343,1007,1010
11394,1008,1009
11445,1007,1009
11495,1007,1009
11546,1008,1009
11596,1007,1010
11648,1007,1009
11698,1008,1009
11749,1007,1010
11799,1007,1009
11850,1008,1010
11900,1007,1009
11952,1007,1010
12002,1008,1009
12053,1007,1009
12103,1007,1010
12154,1007,1009
12205,1007,1010
12255,1007,1010
12306,1007,1009
12356,1008,1009
12407,1007,1009
12457,1007,1010
12509,1007,1009
12559,1007,1010
12610,1007,1009
12660,1007,1010
12711,1007,1009
12762,1007,1010
12813,1008,1010
12863,1007,1009
12914,1008,1009
12964,1008,1009
13016,1008,1009
13066,1007,1009
13116,1007,1009
13167,1007,1009
13217,1007,1009
13268,1007,1010
13319,1007,1009
13370,1007,1009
13420,1007,1009

13471,1007,1010
13521,1008,1009
13573,1008,1009
13623,1007,1009
13674,1008,1010
13724,1007,1009
13775,1007,1009
13826,1007,1010
13877,1008,1009
13927,1007,1010
13978,1007,1009
14028,1007,1009
14078,1007,1009
14130,1007,1010
14180,1008,1009
14231,1007,1009
14281,1007,1010
14332,1007,1009
14383,1007,1010
14434,1008,1010
