time_ms,ldr_signal_1,ldr_signal_2
0,1,0
50,1,0
100,1,0
151,1,0
201,2,0
251,2,0
303,2,0
353,2,0
403,2,0
454,2,0
504,1,0
555,2,0
606,2,0
656,2,0
706,2,0
757,2,0
807,2,0
858,2,0
909,2,0
959,2,0
1009,2,0
1060,3,0
1111,2,0
1161,2,0
1212,2,0
1262,2,0
1312,2,0
1363,2,0
1414,1,0
1464,1,0
1515,1,0
1565,1,0
1615,1,0
1667,2,0
1717,2,0
1767,2,0
1818,2,0
1868,2,0
1920,1,0
1970,2,0
2020,2,0
2071,1,0
2121,1,0
2171,2,0
2223,2,0
2273,2,0
2323,2,0
2374,1,0
2424,2,0
2475,2,0
2526,3,0
2576,3,0
2626,2,0
2677,3,0
2727,2,0
2778,2,0
2829,3,0
2879,2,0
2929,2,0
2980,2,0
3031,2,0
3081,2,0
3132,2,0
3182,3,0
3233,2,0
3283,2,0
3334,2,0
3385,2,0
3435,2,0
3485,1,0
3536,2,0
3587,2,0
3637,2,0
3688,2,0
3738,2,0
3788,2,0
3840,2,0
3890,2,0
3940,2,0
3991,2,0
4041,2,0
4091,2,0
4143,2,0
4193,2,0
4243,2,0
4294,2,0
4344,2,0
4395,2,0
4446,2,0
4496,2,0
4547,2,0
4597,1,0
4647,2,0
4699,2,0
4749,2,0
4799,2,0
4850,2,0
4900,2,0
4951,2,0
5002,2,0
5052,2,0
5102,1,0
5153,2,0
5203,2,0
5254,2,0
5305,1,0
5355,2,0
5405,2,0
5456,2,0
5507,2,0
5557,2,0
5608,2,0
5658,2,0
5708,2,0
5760,2,0
5810,2,0
5861,2,0
5911,2,0
5961,2,0
6012,1,0
6063,2,0
6113,1,0
6164,2,0
6214,2,0
6264,2,0
6316,2,0
6366,2,0
6416,2,0
6467,2,0
6517,3,0
6567,2,0
6619,3,0
6669,2,0
6719,2,0
6770,3,0
6820,2,0
6871,3,0
6922,2,0
6972,2,0
7022,2,0
7073,2,0
7123,2,0
7175,2,0
7225,2,0
7275,2,0
7326,3,0
7376,3,0
7427,2,0
7478,2,0
7528,2,0
7578,2,0
