time_ms,ldr_signal_1,ldr_signal_2
0,560,515
50,548,504
100,546,518
151,553,546
201,565,575
252,579,601
303,592,621
354,603,633
404,608,636
454,609,629
505,604,612
556,595,590
607,583,564
657,571,538
707,558,513
758,548,505
808,546,519
860,554,546
910,566,576
960,579,601
1011,593,621
1061,603,633
1113,609,636
1163,609,627
1213,603,608
1264,593,584
1314,580,557
1366,566,530
1416,553,508
1467,546,508
1517,548,530
1567,559,560
1618,572,588
1669,586,612
1720,598,628
1770,607,636
1821,610,633
1871,607,619
1922,598,597
1973,587,572
2023,574,545
2074,560,518
2124,549,504
2174,546,516
2226,552,543
2276,564,573
2327,579,600
2377,592,620
2428,602,633
2479,608,635
2529,609,628
2580,604,610
2630,594,587
2681,582,560
2732,568,533
2783,555,509
2833,547,506
2883,547,526
2934,557,555
2984,570,584
3036,584,609
3086,596,627
3137,605,635
3187,609,634
3237,608,623
3289,601,602
3339,590,578
3390,577,551
3440,563,524
3490,551,506
3542,546,512
3592,550,536
3643,562,566
3693,575,594
3744,589,616
3794,600,630
3845,608,636
3896,610,632
3946,606,616
3997,597,594
4047,585,568
4099,573,541
4149,558,515
4199,548,505
4250,546,518
4300,554,546
4352,567,576
4402,580,602
4453,593,622
4503,603,634
4553,609,636
4604,609,628
4655,604,610
4706,593,586
4756,581,560
4806,568,533
4857,555,510
4908,547,507
4959,548,527
5009,557,555
5060,570,584
5110,584,609
5160,597,627
5212,606,635
5262,610,634
5313,608,623
5363,601,603
5414,590,578
5465,578,551
5515,564,524
5566,552,506
5616,546,511
5667,550,534
5718,561,565
5769,574,592
5819,588,615
5869,600,630
5920,607,636
5970,610,632
6022,607,618
6072,598,597
6122,587,571
6173,574,544
6223,560,517
6275,549,505
6325,546,516
6376,553,542
6426,564,572
6476,578,599
6528,591,620
6578,602,632
6629,609,636
6679,610,630
6730,605,613
6780,595,590
6831,583,564
6882,570,536
6932,556,512
6983,547,506
7033,547,523
7085,555,550
7135,568,580
7185,582,605
7236,594,624
7286,604,635
7337,609,635
7388,609,626
7438,602,607
7489,592,584
7539,580,557
7590,567,530
7641,554,508
7692,546,508
7742,548,528
7792,558,558
7843,571,587
7894,585,610
7945,597,627
7995,606,635
8046,610,634
8096,608,623
8146,601,602
8198,590,578
8248,577,551
8299,564,524
8349,551,506
8400,546,510
8451,549,533
8501,560,563
8552,573,590
8602,587,614
8653,599,629
8704,607,636
8754,610,633
8805,607,620
8855,599,599
8906,588,574
8956,575,547
9008,562,521
9058,550,505
9108,546,513
9159,551,538
9209,562,568
9261,576,595
9311,589,617
9362,601,631
9412,608,636
9462,610,632
9513,606,617
9564,598,595
9615,587,570
9665,573,543
9716,560,517
9766,549,505
9817,546,515
9868,552,541
9918,564,571
9969,577,597
10019,590,618
10070,602,632
10121,608,636
10171,610,629
10222,605,612
10272,595,589
10323,582,562
10374,569,535
10425,556,511
10475,547,506
10525,547,525
10576,557,554
10627,570,584
10678,584,608
10728,596,626
10779,606,635
10829,610,635
10881,608,623
10931,601,603
10981,590,577
11032,577,550
11082,563,523
11133,551,505
11184,546,512
11235,551,537
11285,562,567
11335,576,595
11386,590,617
11437,601,632
11488,608,637
11538,610,631
11589,605,615
11639,596,592
11691,584,566
11741,571,539
11791,557,513
11842,547,505
11892,547,522
11943,555,550
11994,568,580
12045,582,606
12095,595,624
12146,605,635
12196,609,635
12247,608,624
12298,602,605
12348,591,580
12399,578,554
12449,565,527
12500,552,506
12551,545,509
12601,549,533
12652,560,563
12702,574,592
12753,588,615
12804,600,630
12855,607,636
12905,610,632
12956,607,618
13006,598,595
13057,586,569
13108,573,542
13158,559,515
13209,548,505
13259,546,518
13310,554,546
13361,566,576
13412,580,602
13462,593,622
13512,604,634
13563,609,635
13614,609,627
13665,603,608
13715,592,584
13766,580,557
13816,567,530
13867,553,508
13918,546,508
13968,548,530
14019,559,560
14069,572,589
14120,586,613
14171,599,629
14222,607,636
14272,610,633
14322,607,619
14373,598,597
14424,587,572
14475,575,545
14525,560,518
,,
14576,549,505
14626,546,516
14678,553,543
14728,565,574
14778,579,601
14829,592,621
14879,603,633
14930,609,635
14981,609,628
15032,603,609
15082,593,586
15132,581,559
15183,567,531
15234,553,508
15285,546,507
15335,548,529
15386,558,559
15436,572,588
15488,586,611
15538,598,629
15588,607,636
15639,610,633
15689,607,620
15740,598,598
15791,587,572
15842,574,545
15892,560,518
15942,548,505
15993,546,516
16044,553,544
16095,565,574
16145,579,601
16196,593,621
16246,603,634
16297,609,636
16348,609,627
16398,603,608
16449,593,584
16499,580,557
16550,566,529
16601,553,507
16652,546,508
16702,548,530
16753,559,560
16803,572,589
16854,587,613
16905,599,629
16955,607,636
17006,610,632
17056,607,619
17107,598,596
17158,586,570
17208,573,543
17259,559,516
17309,548,505
17360,546,518
17411,554,546
17462,566,576
17512,581,603
17563,593,623
17613,604,634
17664,609,635
17715,609,626
17765,602,607
17816,592,583
17866,579,555
17917,565,527
17968,552,507
18019,546,510
18069,550,533
18119,560,564
18170,575,592
18221,588,616
18272,600,630
18322,607,636
18373,610,631
18423,606,615
18473,596,592
18525,584,566
18575,571,538
18626,557,512
18676,547,506
18727,547,523
18778,556,552
18829,569,582
18879,583,607
18929,596,626
18980,606,635
19031,609,635
19082,608,623
19132,600,602
19183,589,576
19233,576,549
19284,562,521
19335,549,505
19385,546,514
19436,552,541
19486,563,571
19537,578,598
19588,591,620
19639,603,632
19689,609,636
19739,609,628
19790,603,609
19841,593,585
19892,580,558
19942,567,530
19993,553,508
20043,546,508
20094,549,531
20145,559,561
20195,573,591
20246,587,614
20296,599,630
20347,607,636
20398,610,632
20449,606,616
20499,596,593
20550,584,566
20600,571,538
20651,556,512
20702,547,506
20752,547,523
20803,556,553
20853,569,582
20904,583,608
20955,596,626
21005,606,635
21056,610,634
21106,607,622
21157,599,600
21208,588,574
21259,574,546
21309,560,519
21360,548,505
21410,546,516
21460,553,545
21512,566,576
21562,580,602
21613,593,622
21663,604,634
21714,609,635
21765,609,626
21816,602,605
21866,591,580
21916,577,552
21967,564,524
22018,551,505
22069,545,512
22119,550,537
22170,562,568
22220,576,596
22270,590,618
22322,601,632
22372,608,636
22423,609,629
22473,604,610
22524,594,586
22575,581,559
22626,567,532
22676,553,508
22726,546,508
22777,548,530
22828,559,561
22879,573,590
22929,587,614
22980,599,630
23030,607,636
23081,610,631
23132,606,615
23182,596,592
23233,584,565
23283,570,537
23334,556,512
23385,547,506
23436,547,524
23486,556,554
23536,570,584
23587,584,609
23638,597,627
23689,606,635
23739,609,633
23790,607,620
23840,599,598
23891,587,572
23942,574,545
23992,560,517
