tempo,medidaSensor1,medidaFiltradaSensor1,medidaSensor2,medidaFiltradaSensor2
8,507,50,0,49
73,504,50,0,95
123,506,50,0,143
175,526,52,0,197
226,550,55,0,255
277,564,56,0,314
328,562,56,0,371
379,545,54,0,425
430,522,52,0,474
481,503,50,0,520
532,508,99,0,520
583,530,148,0,529
634,554,199,0,538
686,565,253,0,544
736,558,310,0,542
787,537,367,0,535
838,513,423,0,525
889,502,475,0,518
941,518,526,0,521
992,543,525,490,532
1043,562,530,461,541
1094,562,536,486,545
1145,541,539,537,539
1197,514,537,576,528
1248,502,533,592,518
1299,522,530,576,519
1350,549,526,535,529
1401,564,526,489,541
1453,557,531,461,546
1504,533,536,494,540
1555,507,538,544,528
1606,506,537,582,519
1656,530,533,591,520
1708,555,527,565,531
1759,564,523,520,543
1810,550,527,472,545
1861,524,535,469,537
1912,502,540,519,524
1964,512,540,566,518
2015,539,535,591,523
2066,561,526,576,535
2117,562,522,528,545
2168,542,527,474,543
2220,516,536,471,532
2271,501,540,527,521
2322,520,539,576,518
2373,548,532,591,527
2424,564,524,563,540
2476,558,522,512,546
2527,535,530,463,541
2578,509,538,486,529
2629,506,541,545,519
2680,530,538,584,520
2732,556,529,587,531
2783,566,522,547,543
2834,553,524,493,546
2885,528,533,461,539
2936,505,540,505,526
2988,512,541,560,520
3039,539,536,590,524
3090,562,527,578,537
3141,565,523,531,546
3192,546,527,476,546
3244,520,536,469,536
3295,503,541,525,523
3346,520,541,575,520
3397,547,534,591,528
3448,565,526,565,541
3500,561,524,515,547
3551,538,531,465,544
3602,511,539,484,531
3653,505,543,543,521
3704,528,540,585,522
3756,555,532,590,532
3807,566,525,553,544
3858,555,526,500,547
3909,530,534,463,540
3960,505,541,502,527
4012,510,543,559,520
4063,537,538,591,524
4114,561,529,583,536
4165,565,524,537,546
4216,548,528,483,546
4268,522,537,468,537
4319,503,542,521,524
4370,518,542,573,520
4421,545,536,593,527
4472,565,527,571,540
4524,562,524,521,547
4575,540,531,469,544
4626,513,539,481,532
4677,504,542,540,522
4728,526,540,583,521
4780,553,533,591,530
4831,566,525,556,543
4882,556,525,503,547
4933,532,534,462,541
4984,507,541,499,528
5036,509,543,556,520
5087,534,539,590,523
5138,559,530,585,535
5189,566,524,541,546
5240,550,527,487,547
5292,524,536,466,538
5343,503,542,517,525
5394,515,542,570,520
5445,543,536,593,526
5496,563,527,574,539
5548,564,524,525,547
5599,543,530,471,545
5650,516,538,477,534
5701,503,542,535,523
5752,523,541,581,521
5804,550,534,592,529
5855,566,526,560,542
5906,559,525,508,548
5957,535,533,463,543
6008,509,540,493,530
6060,507,543,552,521
6111,531,539,589,522
6162,557,531,587,533
6213,566,525,546,545
6264,553,527,492,547
6316,528,536,464,539
6367,504,542,511,526
6418,512,542,566,520
6469,539,537,593,524
6520,561,528,578,537
6572,565,524,531,547
6623,546,529,477,546
6674,520,538,472,536
6725,503,542,529,524
6776,519,541,577,520
6828,546,534,593,528
6879,565,526,566,541
6930,562,525,514,548
6981,539,532,465,544
7032,513,540,486,532
7084,505,543,545,522
7135,527,540,586,521
7186,554,532,590,531
7236,566,525,552,544
7287,556,526,499,548
7339,532,535,463,541
7390,506,541,503,528
7441,509,543,560,520
7492,535,538,591,523
7543,559,530,583,535
7595,566,524,538,546
7646,550,528,484,547
7697,524,537,467,537
7748,503,542,520,525
7799,516,542,572,520
7851,543,536,593,526
7902,563,527,573,539
7953,563,524,523,547
8004,543,530,471,545
8055,516,539,479,534
8107,503,542,537,522
8158,524,541,582,521
8209,551,533,592,529
8260,566,525,559,542
8311,558,525,507,548
8363,535,533,463,542
8414,508,540,494,530
8465,507,543,552,521
8516,532,539,589,522
8567,558,531,587,534
8619,566,524,545,545
8670,551,527,491,547
8721,526,536,464,539
8772,504,542,512,526
8823,514,542,566,520
8875,541,537,592,525
8926,563,528,578,538
8977,564,524,530,547
9028,544,529,476,545
9079,517,538,473,535
9131,503,542,530,523
9182,521,541,578,520
9233,549,534,593,528
9284,565,526,564,541
9335,560,525,513,547
9387,537,532,465,543
9438,511,540,489,531
9489,505,543,548,521
9540,528,539,587,521
9591,554,531,588,532
9643,566,524,549,544
9694,556,526,495,547
9745,531,535,463,540
9796,506,541,508,527
9847,510,542,564,520
9899,536,537,592,523
9950,560,529,579,535
10001,566,524,533,546
10052,548,528,479,546
10103,521,537,470,537
10155,503,542,525,524
10206,519,542,575,520
10257,548,536,593,527
10308,565,527,569,540
10359,560,524,519,547
10411,536,530,468,543
10462,509,538,481,531
10513,507,543,539,521
10565,533,541,583,522
10616,559,533,591,532
10668,566,525,558,544
10719,549,525,505,546
10770,522,533,463,538
10821,503,541,496,525
10872,519,544,554,520
10924,547,539,589,526
10975,565,529,586,539
11026,559,523,542,547
11077,536,527,486,543
11128,509,537,466,531
11180,507,543,521,521
11231,533,542,573,522
11282,559,534,593,532
11333,566,525,568,544
11384,549,524,515,547
11436,522,532,465,538
11487,503,540,489,525
11538,519,544,549,521
11589,547,539,588,526
11640,565,529,586,539
11692,559,523,543,547
11743,536,527,487,544
11794,509,537,466,531
11845,507,543,520,522
11896,533,543,573,522
11948,559,535,593,532
11999,566,525,568,544
12050,549,524,515,547
12101,522,532,465,538
12153,503,541,489,525
12205,519,544,550,521
12256,547,539,589,526
12307,566,529,586,539
12358,559,523,543,547
12409,536,527,487,544
12461,509,537,466,531
12512,507,543,520,522
12563,533,543,573,522
12614,559,535,593,532
12665,566,525,568,544
12717,549,524,516,547
12768,522,532,465,538
12819,503,540,489,525
12870,519,544,549,521
12921,547,540,588,526
12973,565,529,587,539
13024,560,523,543,547
13075,536,527,487,544
13126,509,537,466,531
13177,508,543,520,522
13229,533,543,573,522
13280,559,535,593,532
13331,566,525,568,544
13382,548,524,516,547
13433,522,532,466,538
13485,503,540,489,525
13536,519,544,549,521
13587,547,540,588,526
13638,566,529,587,539
13689,559,523,543,547
13741,536,527,487,544
13793,508,537,466,531
13844,507,543,520,521
13895,533,543,573,522
