time_ms,ldr_signal_1,ldr_signal_2
0,559,562
50,547,537
100,534,509
151,521,482
201,509,469
252,506,478
303,511,503
354,523,533
404,536,559
454,549,581
505,560,593
556,567,597
607,568,591
657,563,574
707,554,551
758,542,525
808,529,498
860,515,475
910,507,470
960,507,487
1011,515,515
1061,529,545
1113,543,571
1163,555,589
1213,564,597
1264,568,595
1314,565,581
1366,557,559
1416,545,532
1467,532,505
1517,518,479
1567,508,469
1618,506,483
1669,514,512
1720,527,541
1770,541,567
1821,554,587
1871,564,596
1922,568,596
1973,566,584
2023,559,562
2074,547,537
2124,534,509
2174,520,482
2226,509,469
2276,506,480
2327,513,506
2377,524,536
2428,538,563
2479,552,584
2529,562,595
2580,567,597
2630,567,587
2681,560,567
2732,549,542
2783,537,515
2833,523,487
2883,511,470
2934,506,476
2984,510,501
3036,522,531
3086,536,558
3137,549,580
3187,560,594
3237,567,597
3289,568,590
3339,562,571
3390,552,547
3440,539,520
3490,526,492
3542,512,471
3592,506,473
3643,509,495
3693,519,525
3744,533,554
3794,547,577
3845,559,592
3896,566,598
3946,568,592
3997,564,575
4047,554,552
4099,542,525
4149,529,497
4199,515,474
4250,507,471
4300,508,490
4352,517,520
4402,531,549
4453,545,574
4503,557,590
4553,566,598
4604,569,595
4655,565,580
4706,557,557
4756,545,531
4806,531,503
4857,517,477
4908,508,470
4959,507,486
5009,515,514
5060,528,544
5110,542,569
5160,555,588
5212,564,597
5262,569,596
5313,566,583
5363,558,561
5414,547,535
5465,533,507
5515,520,480
5566,509,469
5616,507,482
5667,514,510
5718,527,540
5769,540,566
5819,554,586
5869,564,596
5920,569,596
5970,567,585
6022,559,564
6072,548,538
6122,535,510
6173,521,483
6223,509,469
6275,506,480
6325,513,507
6376,525,537
6426,539,564
6476,552,585
6528,563,596
6578,568,597
6629,567,587
6679,560,566
6730,549,540
6780,536,513
6831,522,485
6882,510,470
6932,506,478
6983,512,504
7033,524,535
7085,538,562
7135,551,583
7185,562,595
7236,568,597
7286,568,588
7337,561,568
7388,550,542
7438,537,515
7489,523,487
7539,511,470
7590,506,477
7641,511,502
7692,523,533
7742,537,561
7792,551,582
7843,562,595
7894,568,597
7945,568,589
7995,561,569
8046,550,543
8096,538,516
8146,524,488
8198,511,470
8248,506,476
8299,511,502
8349,523,532
8400,536,560
8451,550,581
8501,561,594
8552,568,598
8602,568,589
8653,562,570
8704,551,545
8754,538,517
8805,524,489
8855,511,470
8906,506,475
8956,511,500
9008,522,531
9058,536,558
9108,550,581
9159,561,594
9209,568,598
9261,568,590
9311,562,570
9362,551,545
9412,538,518
9462,525,490
9513,512,470
9564,506,475
9615,511,500
9665,522,530
9716,536,558
9766,550,581
9817,561,594
9868,567,597
9918,568,590
9969,562,570
10019,551,545
10070,538,516
10121,523,487
10171,511,470
10222,506,478
10272,512,505
10323,525,537
10374,539,564
10425,553,586
10475,563,596
10525,568,596
10576,567,584
10627,558,561
10678,546,534
10728,533,505
10779,518,478
10829,508,470
10881,507,487
10931,516,517
10981,530,548
11032,545,574
11082,558,591
11133,566,598
11184,568,593
11235,564,576
11285,554,551
11335,541,523
11386,527,494
11437,513,471
11488,506,474
11538,510,499
11589,522,530
11639,536,559
11691,550,582
11741,561,595
11791,568,597
11842,567,587
11892,560,566
11943,548,540
11994,535,511
12045,520,482
12095,509,469
12146,506,482
12196,514,511
12247,528,543
12298,543,570
12348,556,589
12399,565,597
12449,568,595
12500,565,579
12551,556,555
12601,543,527
12652,529,497
12702,514,474
12753,506,472
12804,509,495
12855,520,526
12905,534,556
12956,549,580
13006,561,594
13057,567,598
13108,568,589
13158,561,568
13209,550,542
13259,536,513
13310,522,485
13361,509,469
13412,507,480
13462,513,509
13512,527,541
13563,541,568
13614,555,588
13665,565,597
13715,568,595
13766,566,580
13816,556,556
13867,543,528
13918,529,499
13968,515,474
14019,507,472
14069,509,494
14120,520,525
14171,534,555
14222,548,579
14272,560,594
14322,567,597
14373,568,589
14424,561,569
14475,550,542
14525,536,514
14576,522,485
14626,509,469
14676,506,480
14728,514,509
14778,527,541
14829,542,568
14879,555,588
14930,565,597
14981,568,595
15032,566,580
15082,556,556
15132,543,527
15183,529,498
15234,515,474
15285,506,472
15335,509,495
15386,520,527
15436,535,556
15488,549,580
15538,561,594
15588,568,597
15639,568,588
15689,561,567
15740,549,541
15791,536,512
15842,521,483
15892,509,469
15942,507,482
15993,514,511
16044,528,543
16095,542,570
16145,556,589
16196,565,597
16246,569,595
16297,565,578
16348,555,554
16398,542,525
16449,528,496
16499,514,472
16550,506,473
16601,510,497
16652,521,529
16702,536,558
16753,550,581
16803,561,595
16854,568,597
16905,568,587
16955,560,565
17006,548,538
17056,534,509
17107,520,481
17158,508,469
17208,507,484
17259,515,514
17309,529,545
17360,544,572
17411,557,590
17462,566,598
17512,569,594
17563,564,576
17613,554,551
17664,541,523
17715,527,494
17765,513,472
17816,506,474
17866,510,499
17917,522,531
17968,537,560
18018,551,583
18069,562,595
18119,568,597
18170,567,586
18221,559,564
18272,547,536
18322,534,508
18373,519,480
18423,508,469
18473,507,485
18525,516,516
18575,530,547
18626,544,573
18676,557,591
18727,566,598
18778,568,593
18829,564,575
18879,554,550
18929,540,521
18980,526,492
19031,512,471
19082,506,475
19132,511,500
19183,523,532
19233,538,561
19283,551,583
19335,562,596
19385,568,597
19436,567,585
19486,559,563
19537,547,536
19588,533,507
19639,519,479
19689,508,469
19739,507,486
19790,516,516
19841,530,547
19892,544,573
19942,557,591
19993,566,598
20043,568,593
20094,564,576
20145,554,551
20195,540,522
20246,526,493
20296,513,472
20347,506,474
20398,510,499
20449,522,531
20499,536,560
20549,551,582
20600,562,595
20651,568,597
20702,567,587
20752,560,565
20803,548,538
20853,534,510
20904,520,481
20955,509,469
21005,507,483
21056,515,513
21106,528,544
21157,543,570
21208,556,589
21259,565,597
21309,569,594
21360,565,578
21410,555,554
21460,542,526
21512,528,497
21562,514,473
21613,506,473
21663,509,495
21714,520,527
21765,534,556
21815,549,580
21866,560,594
21916,568,598
21967,568,589
22018,561,569
22069,550,543
22119,537,514
22170,522,486
22220,510,469
22270,506,479
22322,513,507
22372,526,539
22423,540,566
22473,554,586
22524,564,597
22575,568,596
22626,566,583
22676,558,560
22726,545,532
22777,531,503
22828,517,477
22879,507,470
22929,508,489
22980,517,519
23030,531,549
23080,545,575
23132,558,592
23182,567,598
23233,569,592
23283,564,574
23334,553,549
23385,540,521
23436,526,493
23486,512,471
23536,506,475
23587,510,499
23638,522,530
23689,536,559
23739,550,581
23790,562,595
23840,568,597
23890,567,588
23942,560,566
23992,549,540
24043,535,511
24093,521,483
24144,509,469
24195,506,481
24246,514,510
24296,527,541
24346,541,568
24397,555,588
24448,564,597
24499,569,595
24549,565,581
24600,556,557
24650,544,529
24701,530,501
24752,516,475
24802,506,470
24853,508,490
24903,518,521
24954,531,551
25005,546,576
25056,558,592
25106,566,597
25156,568,592
25207,563,574
25257,552,548
25309,539,520
25359,525,491
25410,512,471
25460,506,475
25511,510,500
25562,522,531
25612,537,560
25663,551,582
25713,562,595
25764,568,597
25815,567,587
25866,560,566
25916,549,540
25967,535,511
26017,521,483
26067,509,469
26119,506,482
26169,514,510
26220,527,541
26270,541,568
26321,555,588
26372,565,597
26422,568,596
26473,566,582
26523,557,558
26574,545,531
26625,531,502
26676,517,476
26726,507,470
26777,507,488
26827,517,519
26877,531,549
26929,545,575
26979,558,591
27030,566,598
27080,569,593
27131,564,576
27182,554,551
27233,541,523
27283,527,495
27333,513,472
27384,506,473
27435,509,497
27486,521,528
27536,535,557
27587,549,580
27637,561,594
27687,567,598
27739,568,589
27789,561,569
27840,550,543
27890,537,514
27941,523,486
27992,510,470
28043,506,479
28093,512,506
28143,525,537
28194,539,565
28244,553,585
28296,563,596
28346,568,597
28397,567,584
28447,558,562
28498,547,535
28549,533,506
28599,519,479
28650,508,469
28700,507,486
28751,516,515
28802,529,546
28853,543,572
28903,556,590
28953,566,597
29004,568,594
29054,565,578
29106,555,554
29156,543,526
29207,529,498
29257,515,474
29308,506,472
29359,509,493
29409,520,525
29460,533,555
29510,548,578
29561,560,593
29612,567,598
29663,568,591
29713,563,571
29763,551,546
29814,538,517
29864,524,488
29916,511,470
29966,506,477
30017,512,504
30067,524,535
30118,538,563
30169,552,584
30219,563,596
30270,568,597
30320,567,585
30371,559,563
30422,547,536
30473,533,507
30523,519,480
30574,508,469
30624,507,485
30674,516,515
30726,529,546
30776,544,572
30827,557,590
30877,565,598
30928,569,594
30979,564,578
31029,555,553
31080,542,525
31130,528,496
31181,514,473
31232,506,473
31283,510,496
31333,521,528
31384,535,557
31434,549,580
31484,561,594
31536,568,598
31586,568,589
31637,561,568
31687,550,541
31738,536,513
31789,522,484
31840,509,469
31890,506,481
31940,514,510
31991,527,541
32041,541,568
32093,555,588
32143,565,597
32194,568,595
32244,566,581
32294,556,557
32346,544,529
32396,530,500
32447,516,475
32497,507,471
32548,509,493
32599,519,524
32650,533,553
32700,548,578
32750,560,593
32801,567,598
32851,568,590
32903,562,571
32953,551,545
33004,538,516
33054,523,487
33105,510,470
33156,506,479
33206,513,507
33257,526,538
33307,540,566
33358,554,587
33409,564,597
33460,568,596
33510,566,582
33560,557,558
33611,544,530
33661,530,501
33713,516,476
33763,507,471
33814,508,491
33864,518,522
33915,532,553
33966,547,577
34016,560,593
34067,567,598
34117,568,591
34168,562,571
34219,551,545
34270,538,516
34320,523,487
34370,510,469
34421,506,479
34471,513,507
34523,526,539
34573,541,567
34624,554,587
34674,564,597
34725,568,595
34776,566,581
34826,556,557
34877,544,529
34927,530,500
34978,515,474
35028,506,472
35080,509,494
35130,520,525
35181,534,555
35231,548,579
35281,561,594
35333,567,598
35383,568,589
35434,561,568
35484,550,541
35535,536,513
35586,521,484
35636,509,469
35687,507,482
35737,515,512
35788,528,544
35838,543,571
35890,556,590
35940,565,598
35991,568,594
36041,564,577
36091,554,552
36143,541,524
36193,527,494
36244,513,472
36294,506,475
36345,511,500
36396,523,532
36447,537,561
36497,552,584
36547,563,596
36598,568,597
36648,567,585
36700,558,561
36750,546,534
36801,532,505
36851,517,478
36901,507,470
36953,508,489
37003,518,521
37054,532,552
37104,547,577
37155,560,593
37206,567,598
37257,568,591
37307,562,570
37357,550,543
37408,537,515
37458,522,485
37510,510,469
37560,506,481
37611,514,510
37661,527,542
37712,542,569
37763,556,589
37813,565,598
37864,569,594
37914,565,577
37965,554,552
38016,541,524
38067,527,494
38117,513,472
38167,506,475
38218,511,500
38268,523,533
38320,537,562
38370,552,584
38421,563,596
38471,568,597
38522,567,584
38573,558,561
38623,545,532
38674,532,503
38724,517,476
38775,507,471
38825,508,491
38877,519,523
38927,533,553
38978,548,578
39028,560,594
39078,567,598
39130,568,589
39180,561,568
39231,550,541
39281,536,512
39332,521,483
39383,509,469
39433,507,483
39484,515,513
39534,528,545
39585,544,572
39635,557,590
39687,566,598
39737,568,593
39788,564,576
39838,553,550
39888,540,521
39940,526,492
39990,512,471
40041,506,476
40091,512,503
40142,524,535
40193,539,563
40244,553,585
40294,564,596
40344,568,596
40395,566,583
40445,557,558
40497,544,530
40547,530,501
40598,516,475
40648,507,471
40698,509,493
40750,520,525
40800,534,555
40851,549,579
40901,561,594
40952,568,597
41003,568,589
41054,561,567
41104,549,540
41154,535,511
41205,521,482
41255,509,469
41307,507,483
41357,515,513
41408,528,544
41458,543,571
41509,557,590
41560,566,598
41610,568,594
41661,564,576
41711,554,551
41762,541,522
41812,526,493
41864,512,471
41914,506,475
41964,511,501
42015,523,533
42065,538,562
42117,552,584
42167,563,596
42218,568,597
42268,567,585
42319,558,562
42370,546,534
42420,532,505
42471,518,478
42521,507,470
42572,508,488
42622,517,520
42674,531,550
42724,546,575
42775,559,592
42825,567,597
42875,569,591
42927,563,572
42977,552,546
43028,538,518
43078,524,488
43129,511,470
43180,506,478
43230,512,506
43281,525,537
43331,540,566
43382,554,586
43432,564,597
43484,568,596
43534,566,582
43585,557,559
43635,545,532
43685,531,502
43737,516,476
43787,507,471
43838,508,490
43888,518,522
43939,532,552
43990,547,577
44041,559,592
44091,567,598
44141,568,591
44192,562,572
44242,551,545
44294,538,517
44344,524,488
44395,511,470
44445,506,478
44495,512,505
44547,525,537
44597,539,565
44648,553,586
44698,564,597
44749,568,596
44800,566,583
44851,558,560
44901,546,533
44951,532,504
45002,517,477
45052,507,470
45104,508,488
45154,517,519
45205,531,550
45255,545,575
45306,558,592
45357,566,598
45407,569,592
45458,563,574
45508,553,548
45559,540,521
45609,526,492
