tempo,medidaSensor1,medidaFiltradaSensor1,medidaSensor2,medidaFiltradaSensor2
518,0,0,0,0
568,0,0,0,0
619,0,0,0,0
669,0,0,0,0
720,0,0,0,0
772,0,0,0,0
822,0,0,0,0
873,0,0,0,0
923,0,0,0,0
974,0,0,0,0
1026,0,0,0,0
1076,0,0,0,0
1127,0,0,0,0
1178,0,0,0,0
1228,0,0,0,0
1280,0,0,0,0
1330,0,0,0,0
1381,0,0,0,0
1432,0,0,0,0
1482,0,0,0,0
1533,0,0,0,0
1585,0,0,0,0
1635,0,0,0,0
1686,0,0,0,0
1737,0,0,0,0
1787,0,0,0,0
1839,0,0,0,0
1890,0,0,0,0
1940,0,0,0,0
1991,0,0,0,0
2041,0,0,0,0
2093,0,0,0,0
2144,0,0,0,0
2194,0,0,0,0
2245,0,0,0,0
2296,0,0,0,0
2347,0,0,0,0
2398,0,0,0,0
2449,0,0,0,0
2499,0,0,0,0
2550,0,0,0,0
2601,0,0,0,0
2652,0,0,0,0
2703,0,0,0,0
2753,0,0,0,0
2804,0,0,0,0
2855,0,0,0,0
2906,0,0,0,0
2957,0,0,0,0
3008,0,0,0,0
3058,0,0,0,0
3109,0,0,0,0
3161,0,0,0,0
3211,0,0,0,0
3262,0,0,0,0
3312,0,0,0,0
3363,0,0,0,0
3415,0,0,0,0
3465,0,0,0,0
3516,0,0,0,0
3567,0,0,0,0
3617,0,0,0,0
3668,0,0,0,0
3720,0,0,0,0
3770,0,0,0,0
3821,0,0,0,0
3872,0,0,0,0
3922,0,0,0,0
3974,0,0,0,0
4024,0,0,0,0
4075,0,0,0,0
4126,0,0,0,0
4176,0,0,0,0
4228,0,0,0,0
4279,0,0,0,0
4329,0,0,0,0
4380,0,0,0,0
4431,0,0,0,0
4482,0,0,0,0
4533,0,0,0,0
4584,0,0,0,0
4634,0,0,0,0
4685,0,0,0,0
4736,0,0,0,0
4787,0,0,0,0
4838,0,0,0,0
4888,0,0,0,0
4939,0,0,0,0
4990,0,0,0,0
5041,0,0,0,0
5092,0,0,0,0
5143,0,0,0,0
5193,0,0,0,0
5244,0,0,0,0
5295,0,0,0,0
5346,0,0,0,0
5397,0,0,0,0
5447,0,0,0,0
5498,0,0,0,0
5550,0,0,0,0
5600,0,0,0,0
5651,0,0,0,0
5702,0,0,0,0
5752,0,0,0,0
5804,0,0,0,0
5855,0,0,0,0
5905,0,0,0,0
5956,0,0,0,0
6006,0,0,0,0
6057,0,0,0,0
6109,0,0,0,0
6159,0,0,0,0
6210,0,0,0,0
6261,0,0,0,0
6311,0,0,0,0
6363,0,0,0,0
6414,0,0,0,0
6464,0,0,0,0
6515,0,0,0,0
6566,0,0,0,0
6617,0,0,0,0
6668,0,0,0,0
6718,0,0,0,0
6769,0,0,0,0
6820,0,0,0,0
6871,0,0,0,0
6922,0,0,0,0
6973,0,0,0,0
7023,0,0,0,0
7074,0,0,0,0
7126,0,0,0,0
7176,0,0,0,0
7227,0,0,0,0
7278,0,0,0,0
7328,0,0,0,0
7379,0,0,0,0
7430,0,0,0,0
7481,0,0,0,0
7532,0,0,0,0
7582,0,0,0,0
7633,0,0,0,0
7685,0,0,0,0
7735,0,0,0,0
7786,0,0,0,0
7837,0,0,0,0
7887,0,0,0,0
7939,0,0,0,0
7990,0,0,0,0
8040,0,0,0,0
8091,0,0,0,0
8141,0,0,0,0
8193,0,0,0,0
8244,0,0,0,0
8294,0,0,0,0
8345,0,0,0,0
8396,0,0,0,0
8446,0,0,0,0
8498,0,0,0,0
8549,0,0,0,0
8599,0,0,0,0
8650,0,0,0,0
8701,0,0,0,0
8752,0,0,0,0
8803,0,0,0,0
8853,0,0,0,0
8904,0,0,0,0
8955,0,0,0,0
9006,0,0,0,0
9057,0,0,0,0
9108,0,0,0,0
9158,0,0,0,0
9209,0,0,0,0
9261,0,0,0,0
9311,0,0,0,0
9362,0,0,0,0
9412,0,0,0,0
9463,0,0,0,0
9515,0,0,0,0
9565,0,0,0,0
9616,0,0,0,0
9667,0,0,0,0
9717,0,0,0,0
9768,0,0,0,0
9820,0,0,0,0
9870,0,0,0,0
9921,0,0,0,0
9972,0,0,0,0
10022,0,0,0,0
10074,0,0,0,0
10125,0,0,0,0
10175,0,0,0,0
10226,0,0,0,0
10277,0,0,0,0
10328,0,0,0,0
10379,0,0,0,0
10430,0,0,0,0
10480,0,0,0,0
10531,0,0,0,0
10583,0,0,0,0
10633,0,0,0,0
10684,0,0,0,0
10735,0,0,0,0
10785,0,0,0,0
10836,0,0,0,0
10888,0,0,0,0
10939,0,0,0,0
10989,0,0,0,0
11040,0,0,0,0
11091,0,0,0,0
11142,0,0,0,0
11193,0,0,0,0
11244,0,0,0,0
11294,0,0,0,0
11345,0,0,0,0
11397,0,0,0,0
11447,0,0,0,0
11498,0,0,0,0
11549,0,0,0,0
11599,0,0,0,0
11651,0,0,0,0
11702,0,0,0,0
11752,0,0,0,0
11803,0,0,0,0
11854,0,0,0,0
11906,0,0,0,0
11956,0,0,0,0
12007,0,0,0,0
12058,0,0,0,0
12108,0,0,0,0
12160,0,0,0,0
12211,0,0,0,0
12261,0,0,0,0
12312,0,0,0,0
12363,0,0,0,0
12413,0,0,0,0
12465,0,0,0,0
12516,0,0,0,0
12566,0,0,0,0
12617,0,0,0,0
12668,0,0,0,0
12719,0,0,0,0
12770,0,0,0,0
12821,0,0,0,0
12872,0,0,0,0
12922,0,0,0,0
12974,0,0,0,0
13025,0,0,0,0
13075,0,0,0,0
13126,0,0,0,0
13177,0,0,0,0
13228,0,0,0,0
13279,0,0,0,0
13330,0,0,0,0
13380,0,0,0,0
13431,0,0,0,0
13483,0,0,0,0
13533,0,0,0,0
13584,0,0,0,0
13635,0,0,0,0
13685,0,0,0,0
13736,0,0,0,0
13788,0,0,0,0
13839,0,0,0,0
13889,0,0,0,0
13940,0,0,0,0
13991,0,0,0,0
14042,0,0,0,0
14093,0,0,0,0
14144,0,0,0,0
14194,0,0,0,0
14245,0,0,0,0
14297,0,0,0,0
14347,0,0,0,0
14398,0,0,0,0
14449,0,0,0,0
14499,0,0,0,0
14551,0,0,0,0
14602,0,0,0,0
14653,0,0,0,0
14703,0,0,0,0
14754,0,0,0,0
14806,0,0,0,0
14856,0,0,0,0
14907,0,0,0,0
14958,0,0,0,0
15008,0,0,0,0
15059,0,0,0,0
15111,0,0,0,0
15161,0,0,0,0
15212,0,0,0,0
15263,0,0,0,0
15313,0,0,0,0
15365,0,0,0,0
15416,0,0,0,0
15466,0,0,0,0
15517,0,0,0,0
15568,0,0,0,0
15620,0,0,0,0
15670,0,0,0,0
15721,0,0,0,0
15772,0,0,0,0
15822,0,0,0,0
15874,0,0,0,0
15925,0,0,0,0
15975,0,0,0,0
16026,0,0,0,0
16077,0,0,0,0
16128,0,0,0,0
16179,0,0,0,0
16230,0,0,0,0
16280,0,0,0,0
16331,0,0,0,0
16382,0,0,0,0
16433,0,0,0,0
16484,0,0,0,0
16535,0,0,0,0
16586,0,0,0,0
16636,0,0,0,0
16688,0,0,0,0
16739,0,0,0,0
16789,0,0,0,0
16840,0,0,0,0
16891,0,0,0,0
16942,0,0,0,0
16993,0,0,0,0
17044,0,0,0,0
17094,0,0,0,0
17145,0,0,0,0
17197,0,0,0,0
17247,0,0,0,0
17298,0,0,0,0
17349,0,0,0,0
17400,0,0,0,0
17451,0,0,0,0
17502,0,0,0,0
17553,0,0,0,0
17603,0,0,0,0
17654,0,0,0,0
17705,0,0,0,0
17756,0,0,0,0
17807,0,0,0,0
17858,0,0,0,0
17908,0,0,0,0
17959,0,0,0,0
18011,0,0,0,0
18061,0,0,0,0
18112,0,0,0,0
18163,0,0,0,0
18213,0,0,0,0
18265,0,0,0,0
18316,0,0,0,0
18367,0,0,0,0
18417,0,0,0,0
18468,0,0,0,0
18520,0,0,0,0
18570,0,0,0,0
18621,0,0,0,0
18672,0,0,0,0
18722,0,0,0,0
18774,0,0,0,0
18825,0,0,0,0
18875,0,0,0,0
18926,0,0,0,0
18977,0,0,0,0
19027,0,0,0,0
19079,0,0,0,0
19130,0,0,0,0
19180,0,0,0,0
19231,0,0,0,0
19282,0,0,0,0
19334,0,0,0,0
19384,0,0,0,0
19435,0,0,0,0
19486,0,0,0,0
19536,0,0,0,0
19588,0,0,0,0
19639,0,0,0,0
19689,0,0,0,0
19740,0,0,0,0
19791,0,0,0,0
19842,0,0,0,0
19893,0,0,0,0
19944,0,0,0,0
19994,0,0,0,0
20045,0,0,0,0
20097,0,0,0,0
20148,0,0,0,0
20198,0,0,0,0
20249,0,0,0,0
20300,0,0,0,0
20350,0,0,0,0
20402,0,0,0,0
20453,0,0,0,0
20503,0,0,0,0
20554,0,0,0,0
20605,0,0,0,0
20656,0,0,0,0
20707,0,0,0,0
20758,0,0,0,0
20808,0,0,0,0
20859,0,0,0,0
20911,0,0,0,0
20961,0,0,0,0
21012,0,0,0,0
21063,0,0,0,0
21114,0,0,0,0
21165,0,0,0,0
21216,0,0,0,0
21267,0,0,0,0
21317,0,0,0,0
21368,0,0,0,0
21420,0,0,0,0
21470,0,0,0,0
21521,0,0,0,0
21572,0,0,0,0
21622,0,0,0,0
21673,0,0,0,0
21725,0,0,0,0
21775,0,0,0,0
21826,0,0,0,0
21877,0,0,0,0
21928,0,0,0,0
21979,0,0,0,0
22030,0,0,0,0
22081,0,0,0,0
22131,0,0,0,0
22182,0,0,0,0
22234,0,0,0,0
22284,0,0,0,0
22335,0,0,0,0
22386,0,0,0,0
22436,0,0,0,0
22488,0,0,0,0
22539,0,0,0,0
22589,0,0,0,0
22640,0,0,0,0
22691,0,0,0,0
22742,0,0,0,0
22793,0,0,0,0
22844,0,0,0,0
22895,0,0,0,0
22945,0,0,0,0
22996,0,0,0,0
23048,0,0,0,0
23098,0,0,0,0
23149,0,0,0,0
23200,0,0,0,0
23250,0,0,0,0
23302,0,0,0,0
23353,0,0,0,0
23403,0,0,0,0
23454,0,0,0,0
23505,0,0,0,0
23556,0,0,0,0
23607,0,0,0,0
23658,0,0,0,0
23708,0,0,0,0
23759,0,0,0,0
23811,0,0,0,0
23862,0,0,0,0
23912,0,0,0,0
23963,0,0,0,0
24014,0,0,0,0
24065,0,0,0,0
24116,0,0,0,0
24167,0,0,0,0
24217,0,0,0,0
24268,0,0,0,0
24320,0,0,0,0
24370,0,0,0,0
24421,0,0,0,0
24472,0,0,0,0
24522,0,0,0,0
24573,0,0,0,0
24625,0,0,0,0
24676,0,0,0,0
24726,0,0,0,0
24777,0,0,0,0
24828,0,0,0,0
24879,0,0,0,0
24930,0,0,0,0
24981,0,0,0,0
25031,0,0,0,0
25082,0,0,0,0
25134,0,0,0,0
25184,0,0,0,0
25235,0,0,0,0
25286,0,0,0,0
25336,0,0,0,0
25388,0,0,0,0
25439,0,0,0,0
25489,0,0,0,0
25540,0,0,0,0
25591,0,0,0,0
25643,0,0,0,0
25693,0,0,0,0
25744,0,0,0,0
25795,0,0,0,0
25845,0,0,0,0
25896,0,0,0,0
25948,0,0,0,0
25998,0,0,0,0
26049,0,0,0,0
26100,0,0,0,0
26150,0,0,0,0
26202,0,0,0,0
26253,0,0,0,0
26303,0,0,0,0
26354,0,0,0,0
26405,0,0,0,0
26457,0,0,0,0
26507,0,0,0,0
26558,0,0,0,0
26609,0,0,0,0
26659,0,0,0,0
26711,0,0,0,0
26762,0,0,0,0
26812,0,0,0,0
26863,0,0,0,0
26914,0,0,0,0
26964,0,0,0,0
27016,0,0,0,0
27067,0,0,0,0
27117,0,0,0,0
27168,0,0,0,0
27219,0,0,0,0
27270,0,0,0,0
27321,0,0,0,0
27372,0,0,0,0
27423,0,0,0,0
27473,0,0,0,0
27525,0,0,0,0
27576,0,0,0,0
27626,0,0,0,0
27677,0,0,0,0
27728,0,0,0,0
27779,0,0,0,0
27830,0,0,0,0
27881,0,0,0,0
27931,0,0,0,0
27982,0,0,0,0
28034,0,0,0,0
28084,0,0,0,0
28135,0,0,0,0
28186,0,0,0,0
28236,0,0,0,0
28288,0,0,0,0
28339,0,0,0,0
28390,0,0,0,0
28440,0,0,0,0
28491,0,0,0,0
28542,0,0,0,0
28593,0,0,0,0
28644,0,0,0,0
28695,0,0,0,0
28745,0,0,0,0
28796,0,0,0,0
28848,0,0,0,0
28898,0,0,0,0
28949,0,0,0,0
29000,0,0,0,0
29050,0,0,0,0
29102,0,0,0,0
29153,0,0,0,0
29204,0,0,0,0
29254,0,0,0,0
29305,0,0,0,0
29357,0,0,0,0
29407,0,0,0,0
29458,0,0,0,0
29509,0,0,0,0
29559,0,0,0,0
29611,0,0,0,0
29662,0,0,0,0
29712,0,0,0,0
29763,0,0,0,0
29814,0,0,0,0
29864,0,0,0,0
29916,0,0,0,0
29967,0,0,0,0
30017,0,0,0,0
30068,0,0,0,0
30119,0,0,0,0
30171,0,0,0,0
30221,0,0,0,0
30272,0,0,0,0
30323,0,0,0,0
30373,0,0,0,0
30425,0,0,0,0
30476,0,0,0,0
30526,0,0,0,0
30577,0,0,0,0
30628,0,0,0,0
30679,0,0,0,0
30730,0,0,0,0
30781,0,0,0,0
30831,0,0,0,0
30882,0,0,0,0
30934,0,0,0,0
30985,0,0,0,0
31035,0,0,0,0
31086,0,0,0,0
31137,0,0,0,0
31187,0,0,0,0
31239,0,0,0,0
31290,0,0,0,0
31340,0,0,0,0
31391,0,0,0,0
31442,0,0,0,0
31493,0,0,0,0
31544,0,0,0,0
31595,0,0,0,0
31645,0,0,0,0
31696,0,0,0,0
31748,0,0,0,0
31799,0,0,0,0
31849,0,0,0,0
31900,0,0,0,0
31951,0,0,0,0
32002,0,0,0,0
32053,0,0,0,0
32104,0,0,0,0
32154,0,0,0,0
32205,0,0,0,0
32257,0,0,0,0
32307,0,0,0,0
32358,0,0,0,0
32409,0,0,0,0
32459,0,0,0,0
32510,0,0,0,0
32562,0,0,0,0
32612,0,0,0,0
32663,0,0,0,0
32714,0,0,0,0
32765,0,0,0,0
32816,0,0,0,0
32867,0,0,0,0
32918,0,0,0,0
32968,0,0,0,0
33019,0,0,0,0
33071,0,0,0,0
33121,0,0,0,0
33172,0,0,0,0
33223,0,0,0,0
33273,0,0,0,0
33325,0,0,0,0
33376,0,0,0,0
33426,0,0,0,0
33477,0,0,0,0
33528,0,0,0,0
33579,0,0,0,0
33630,0,0,0,0
33681,0,0,0,0
33732,0,0,0,0
33782,0,0,0,0
33833,0,0,0,0
33885,0,0,0,0
33935,0,0,0,0
33986,0,0,0,0
34037,0,0,0,0
34087,0,0,0,0
34139,0,0,0,0
34190,0,0,0,0
34240,0,0,0,0
34291,0,0,0,0
34342,0,0,0,0
34393,0,0,0,0
34444,0,0,0,0
34495,0,0,0,0
34546,0,0,0,0
34596,0,0,0,0
34648,0,0,0,0
34699,0,0,0,0
34749,0,0,0,0
34800,0,0,0,0
34851,0,0,0,0
34902,0,0,0,0
34953,0,0,0,0
35004,0,0,0,0
35054,0,0,0,0
35105,0,0,0,0
35156,0,0,0,0
35207,0,0,0,0
35258,0,0,0,0
35309,0,0,0,0
35359,0,0,0,0
35410,0,0,0,0
35462,0,0,0,0
35513,0,0,0,0
35563,0,0,0,0
35614,0,0,0,0
35665,0,0,0,0
35716,0,0,0,0
35767,0,0,0,0
35818,0,0,0,0
35868,0,0,0,0
35919,0,0,0,0
35971,0,0,0,0
36021,0,0,0,0
36072,0,0,0,0
36123,0,0,0,0
36173,0,0,0,0
36225,0,0,0,0
36276,0,0,0,0
36326,0,0,0,0
36377,0,0,0,0
36428,0,0,0,0
36480,0,0,0,0
36530,0,0,0,0
36581,0,0,0,0
36632,0,0,0,0
36682,0,0,0,0
36733,0,0,0,0
36785,0,0,0,0
36835,0,0,0,0
36886,0,0,0,0
36937,0,0,0,0
36987,0,0,0,0
37039,0,0,0,0
37090,0,0,0,0
37140,0,0,0,0
37191,0,0,0,0
37242,0,0,0,0
37294,0,0,0,0
37344,0,0,0,0
37395,0,0,0,0
37446,0,0,0,0
37496,0,0,0,0
37548,0,0,0,0
37599,0,0,0,0
37649,0,0,0,0
37700,0,0,0,0
37751,0,0,0,0
37801,0,0,0,0
37853,0,0,0,0
37904,0,0,0,0
37954,0,0,0,0
38005,0,0,0,0
38056,0,0,0,0
38107,0,0,0,0
38158,0,0,0,0
38209,0,0,0,0
38260,0,0,0,0
38310,0,0,0,0
38362,0,0,0,0
38413,0,0,0,0
38463,0,0,0,0
38514,0,0,0,0
38565,0,0,0,0
38616,0,0,0,0
38667,0,0,0,0
38718,0,0,0,0
38768,0,0,0,0
38819,0,0,0,0
38871,0,0,0,0
38921,0,0,0,0
38972,0,0,0,0
39023,0,0,0,0
39073,0,0,0,0
39124,0,0,0,0
39176,0,0,0,0
39227,0,0,0,0
39277,0,0,0,0
39328,0,0,0,0
39379,0,0,0,0
39430,0,0,0,0
39481,0,0,0,0
39532,0,0,0,0
39582,0,0,0,0
39633,0,0,0,0
39685,0,0,0,0
39735,0,0,0,0
39786,0,0,0,0
39837,0,0,0,0
39887,0,0,0,0
39939,0,0,0,0
39990,0,0,0,0
40041,0,0,0,0
40091,0,0,0,0
40142,0,0,0,0
40194,0,0,0,0
40244,0,0,0,0
40295,0,0,0,0
40346,0,0,0,0
40396,0,0,0,0
40448,0,0,0,0
40499,0,0,0,0
40549,0,0,0,0
40600,0,0,0,0
40651,0,0,0,0
40701,0,0,0,0
40753,0,0,0,0
40804,0,0,0,0
40854,0,0,0,0
40905,0,0,0,0
40956,0,0,0,0
41008,0,0,0,0
41058,0,0,0,0
41109,0,0,0,0
41160,0,0,0,0
41210,0,0,0,0
41262,0,0,0,0
41313,0,0,0,0
41363,0,0,0,0
41414,0,0,0,0
41465,0,0,0,0
41516,0,0,0,0
41567,0,0,0,0
41618,0,0,0,0
41668,0,0,0,0
41719,0,0,0,0
41771,0,0,0,0
41821,0,0,0,0
41872,0,0,0,0
41923,0,0,0,0
41974,0,0,0,0
42024,0,0,0,0
42076,0,0,0,0
42127,0,0,0,0
42177,0,0,0,0
42228,0,0,0,0
42279,0,0,0,0
42330,0,0,0,0
42381,0,0,0,0
42432,0,0,0,0
42482,0,0,0,0
42533,0,0,0,0
42585,0,0,0,0
42635,0,0,0,0
42686,0,0,0,0
42737,0,0,0,0
42788,0,0,0,0
42839,0,0,0,0
42890,0,0,0,0
42941,0,0,0,0
42991,0,0,0,0
43042,0,0,0,0
43094,0,0,0,0
43144,0,0,0,0
43195,0,0,0,0
43246,0,0,0,0
43296,0,0,0,0
43347,0,0,0,0
43399,0,0,0,0
43449,0,0,0,0
43500,0,0,0,0
43551,0,0,0,0
43601,0,0,0,0
43653,0,0,0,0
43704,0,0,0,0
43755,0,0,0,0
43805,0,0,0,0
43856,0,0,0,0
43908,0,0,0,0
43958,0,0,0,0
44009,0,0,0,0
44060,0,0,0,0
44110,0,0,0,0
44162,0,0,0,0
44213,0,0,0,0
44263,0,0,0,0
44314,0,0,0,0
44365,0,0,0,0
44416,0,0,0,0
44467,0,0,0,0
44518,0,0,0,0
44568,0,0,0,0
44619,0,0,0,0
44670,0,0,0,0
44722,0,0,0,0
44772,0,0,0,0
44823,0,0,0,0
44874,0,0,0,0
44924,0,0,0,0
44976,0,0,0,0
45027,0,0,0,0
45077,0,0,0,0
45128,0,0,0,0
45179,0,0,0,0
45230,0,0,0,0
45281,0,0,0,0
45332,0,0,0,0
45382,0,0,0,0
45433,0,0,0,0
45485,0,0,0,0
