tempo,medidaSensor1,medidaFiltradaSensor1,medidaSensor2,medidaFiltradaSensor2
976,921,931,932,932
1028,921,931,932,932
1079,921,931,932,932
1130,921,931,932,932
1181,921,931,932,932
1232,922,931,932,932
1284,921,931,932,932
1335,921,930,933,932
1386,921,930,932,932
1437,921,930,932,932
1488,921,930,932,932
1540,921,930,932,932
1591,921,930,932,932
1642,921,930,932,932
1693,922,931,932,932
1744,920,930,932,932
1796,921,931,932,932
1847,921,931,932,932
1898,921,931,932,932
1949,921,930,932,932
2000,921,931,932,932
2052,921,931,932,932
2103,921,931,932,932
2154,922,931,933,932
2205,921,931,932,932
2256,921,931,932,931
2308,921,931,932,932
2359,921,931,932,932
2410,921,931,931,932
2461,921,931,933,932
2512,921,931,932,932
2564,921,931,933,932
2615,921,930,933,932
2666,922,931,932,932
2717,921,930,932,932
2768,922,930,932,932
2820,921,930,932,932
2871,921,931,932,932
2922,921,931,932,932
2973,921,931,932,932
3024,921,931,932,932
3076,921,931,932,932
3127,921,931,932,932
3178,921,931,932,932
3229,921,931,931,932
3280,921,931,933,932
3332,921,931,933,932
3383,921,931,932,932
3434,921,931,932,932
3485,921,931,932,932
3536,921,930,933,932
3588,921,930,932,932
3639,921,930,932,932
3690,921,930,932,932
3741,921,930,932,932
3792,921,930,932,932
3844,921,931,932,932
3895,921,931,932,932
3946,921,931,932,931
3997,921,931,932,931
4048,921,931,932,931
4100,921,931,932,931
4151,921,931,932,931
4202,921,931,932,931
4253,921,931,932,932
4304,921,931,933,932
4356,921,931,933,932
4407,921,930,933,932
4458,921,930,932,932
4509,921,930,932,932
4560,921,930,932,932
4612,921,930,932,932
4663,921,930,932,932
4714,921,930,932,932
4765,921,930,932,932
4816,921,930,932,932
4868,921,930,932,932
4919,921,931,931,932
4970,921,931,932,932
5021,921,931,932,932
5072,921,931,932,932
5124,921,931,932,932
5175,921,931,932,932
5226,921,931,933,931
5277,921,931,932,931
5328,921,930,932,932
5380,921,930,932,932
5431,921,930,932,932
5482,921,930,932,932
5533,921,930,932,932
5584,921,930,932,932
5636,921,930,932,932
5687,921,930,933,932
5738,921,930,932,932
5789,921,930,931,932
5840,921,930,932,932
5892,921,930,932,932
5943,921,930,932,932
5994,921,930,932,931
6045,921,930,932,931
6096,922,931,932,931
6148,921,930,932,931
6199,921,930,932,931
6250,921,930,932,931
6301,921,930,932,931
6352,921,930,932,931
6404,921,930,932,931
6455,921,930,932,931
6506,921,930,932,932
6557,921,930,932,932
6608,921,930,932,932
6660,921,930,932,932
6711,921,930,932,932
6762,921,930,932,932
6813,921,930,932,932
6864,921,930,932,932
6916,921,930,932,932
6967,921,930,931,932
7018,921,930,932,932
7069,921,930,932,932
7120,921,930,932,932
7172,921,930,932,932
7223,921,930,932,932
7274,921,930,932,932
7325,921,931,932,931
7376,921,931,932,931
7428,921,931,932,931
7479,921,931,932,931
7530,921,931,932,931
7581,921,931,932,931
7632,920,930,932,931
7684,921,931,932,931
7735,921,930,932,932
7786,921,930,933,932
7837,921,930,932,932
7888,921,930,932,932
7940,921,930,932,932
7991,921,930,932,932
8042,921,930,932,932
8093,921,930,932,932
8144,921,930,932,932
8196,921,930,931,932
8247,921,930,932,932
8298,921,930,932,932
8349,921,930,932,932
8400,921,930,932,932
8452,921,930,932,932
8503,921,930,932,932
8554,921,930,932,932
8605,921,931,932,932
8656,921,931,932,932
8708,921,931,932,932
8759,921,931,932,932
8810,921,931,932,932
8861,921,931,932,932
8912,921,931,932,932
8964,921,931,932,932
9015,921,931,932,932
9066,921,930,933,932
9117,921,930,932,932
9168,921,930,932,932
9220,921,930,932,932
9271,921,930,932,932
9322,921,931,932,932
9373,921,931,932,932
9424,921,931,932,932
9476,920,930,932,932
9527,921,931,932,932
9578,921,931,932,932
9629,921,931,932,932
9680,921,931,932,932
9732,921,931,932,932
9783,921,930,933,931
9834,921,930,932,931
9885,921,930,932,931
9936,921,930,932,931
9988,921,930,932,931
10039,921,930,932,931
10090,921,930,932,931
10141,921,930,932,931
10192,921,930,932,931
10245,921,930,932,931
10296,921,930,932,932
10347,921,930,932,932
10398,921,930,932,932
10449,920,930,932,932
10501,921,930,932,932
10552,921,930,932,932
10603,921,930,932,932
10654,921,930,932,932
10705,921,930,932,932
10757,921,930,931,932
10808,921,930,932,931
10859,921,930,932,931
10910,921,930,932,931
10961,921,930,932,931
11013,921,930,932,932
11064,921,930,932,932
11115,921,930,932,932
11166,921,930,932,932
11217,921,930,932,932
11269,921,930,932,932
11320,920,930,932,932
11371,921,930,932,932
11422,921,930,932,932
11473,921,930,932,932
11525,920,930,932,932
11576,921,930,932,932
11627,921,931,932,932
11678,921,930,932,932
11729,921,930,932,932
11782,921,931,931,932
11833,921,931,932,932
11884,921,931,932,932
11935,921,931,932,932
11986,921,930,933,932
12038,921,930,932,932
12089,921,930,933,932
12140,921,931,931,932
12191,921,931,932,932
12242,921,931,932,932
12294,920,930,932,932
12345,920,930,932,932
12396,920,930,932,932
12447,921,931,932,932
12498,921,931,932,932
12550,921,930,933,932
12601,921,930,932,932
12652,921,930,932,932
12703,921,930,932,932
12754,921,930,932,932
12806,921,930,932,932
12857,921,930,932,932
12908,920,930,932,932
12959,921,930,932,932
13010,920,930,932,932
13062,921,930,932,932
13113,920,930,932,932
13164,921,930,932,932
13215,920,930,932,932
13266,921,930,932,932
13319,920,930,932,932
13370,921,930,932,932
