tempo,medidaSensor1,medidaFiltradaSensor1,medidaSensor2,medidaFiltradaSensor2
976,947,956,957,957
1028,948,956,957,957
1079,948,956,957,957
1130,948,956,957,957
1181,948,956,958,957
1232,948,956,957,956
1284,947,956,957,956
1335,948,956,957,956
1386,948,956,957,956
1437,948,956,957,956
1488,948,956,958,956
1540,948,956,957,956
1591,948,956,957,956
1642,947,956,957,956
1693,948,956,957,956
1744,948,956,957,956
1796,948,956,957,956
1847,948,955,957,956
1898,948,955,957,956
1949,947,955,957,956
2000,947,955,957,956
2052,948,955,957,956
2103,948,955,957,956
2154,947,955,957,957
2205,948,955,956,957
2256,948,955,957,957
2308,948,956,956,957
2359,948,956,957,957
2410,948,956,957,957
2461,948,956,957,956
2512,948,956,957,956
2564,948,956,957,956
2615,948,956,956,956
2666,948,956,957,956
2717,947,956,957,956
2768,947,956,957,956
2820,947,956,957,956
2871,947,956,957,956
2922,948,956,957,956
2973,948,956,957,956
3024,947,955,957,957
3076,948,955,957,957
3127,947,955,957,957
3178,947,955,957,957
3229,948,955,957,957
3280,947,955,957,957
3332,948,955,957,957
3383,948,955,957,957
3434,948,956,956,956
3485,947,956,956,956
3536,947,956,957,956
3588,948,956,957,956
3639,948,956,957,956
3690,947,956,957,956
3741,948,956,957,956
3792,947,956,957,956
3844,947,956,957,956
3895,947,956,957,956
3946,947,955,957,956
3997,947,955,957,956
4048,947,955,957,956
4100,947,955,957,956
4151,947,955,957,956
4202,947,955,957,956
4253,948,956,957,956
4304,947,955,957,956
4356,948,955,957,956
4407,947,955,956,956
4458,947,955,957,956
4509,948,956,957,956
4560,947,955,957,956
4612,948,956,957,956
4663,947,955,957,956
4714,947,955,957,957
4765,947,955,956,957
4816,947,955,957,957
4868,948,956,957,957
4919,948,956,957,957
4970,947,955,957,957
5021,948,956,957,957
5072,948,956,957,957
5124,948,956,957,957
5175,948,956,956,957
5226,948,956,957,957
5277,948,956,957,957
5328,947,956,957,957
5380,948,956,957,957
5431,948,956,957,957
5482,948,956,957,957
5533,948,956,957,957
5584,948,956,957,957
5636,948,956,957,957
5687,947,956,957,957
5738,948,956,957,957
5789,948,956,957,957
5840,948,956,957,957
5892,948,956,957,956
5943,948,956,957,956
5994,948,956,957,956
6045,947,956,957,956
6096,948,956,957,956
6148,947,956,957,956
6199,948,956,958,956
6250,948,956,957,956
6301,948,956,957,956
6352,948,956,957,956
6404,947,955,957,956
6455,947,955,957,956
6506,948,956,957,956
6557,947,955,957,956
6608,948,956,957,956
6660,948,956,957,956
