tempo,medidaSensor1,medidaFiltradaSensor1,medidaSensor2,medidaFiltradaSensor2
976,995,997,998,997
1028,996,997,997,997
1079,997,997,998,997
1130,995,997,997,997
1181,996,997,998,997
1232,996,997,997,997
1284,996,997,997,997
1335,996,997,997,997
1386,997,997,998,997
1437,997,997,997,997
1488,996,997,997,997
1540,997,997,997,997
1591,997,997,997,997
1642,995,997,997,997
1693,997,997,997,997
1744,996,997,997,997
1796,996,997,998,997
1847,996,997,997,997
1898,996,997,998,997
1949,996,997,998,997
2000,997,997,998,997
2052,997,997,997,997
2103,995,997,998,997
2154,996,997,998,997
2205,996,997,997,997
2256,996,997,997,997
2308,995,997,997,997
2359,996,997,997,997
2410,996,997,997,997
2461,996,997,998,997
2512,996,997,997,997
2564,997,997,997,997
2615,995,997,998,997
2666,995,997,997,997
2717,995,997,998,997
2768,995,997,998,997
2820,996,997,998,997
2871,995,997,997,997
2922,995,997,998,997
2973,996,997,997,997
3024,997,997,997,997
3076,995,997,997,997
3127,996,997,997,997
3178,997,997,998,997
3229,995,997,997,997
3280,996,997,997,997
3332,996,997,998,997
3383,997,997,998,997
3434,995,997,997,997
3485,997,997,998,997
3536,996,997,997,997
3588,995,997,997,997
3639,996,997,997,997
3690,996,997,997,997
3741,996,997,997,997
3792,996,997,998,997
3844,997,997,997,997
3895,997,997,998,997
3946,995,997,998,997
3997,995,997,997,997
4048,996,997,997,997
4100,997,997,998,997
4151,996,997,997,997
4202,996,997,997,997
4253,995,997,998,997
4304,997,997,997,997
4356,996,997,997,997
4407,995,997,997,997
4458,996,997,997,997
4509,995,997,997,997
4560,996,997,997,997
4612,995,997,998,997
4663,996,997,998,997
4714,995,997,997,997
4765,996,997,998,997
4816,996,997,997,997
4868,996,997,997,997
4919,996,997,997,997
4970,996,997,997,997
5021,996,997,997,997
5072,996,997,997,997
5124,996,997,998,997
5175,996,997,998,997
5226,996,997,997,997
5277,996,997,997,997
5328,997,997,998,997
5380,996,997,997,997
5431,996,997,998,997
5482,996,997,997,997
5533,996,997,998,997
5584,996,997,997,997
