tempo,medidaSensor1,medidaFiltradaSensor1,medidaSensor2,medidaFiltradaSensor2
977,1006,1008,1008,1008
1029,1007,1008,1008,1008
1081,1006,1008,1009,1008
1132,1006,1008,1009,1008
1183,1006,1008,1008,1008
1234,1007,1008,1008,1008
1286,1006,1008,1008,1008
1337,1007,1008,1008,1008
1389,1007,1008,1009,1008
1440,1006,1008,1009,1008
1491,1006,1008,1008,1008
1543,1007,1008,1009,1008
1594,1006,1008,1009,1008
1645,1006,1008,1009,1008
1697,1007,1008,1009,1008
1748,1007,1008,1008,1008
1800,1007,1008,1009,1008
1851,1007,1008,1009,1008
1902,1006,1008,1008,1008
1953,1006,1008,1009,1008
2006,1006,1008,1008,1008
2057,1007,1008,1009,1008
2108,1007,1008,1009,1008
2159,1007,1008,1008,1008
2210,1006,1008,1008,1008
2262,1006,1008,1008,1008
2313,1006,1008,1008,1008
2365,1006,1008,1008,1008
2416,1006,1008,1008,1008
2467,1006,1008,1009,1008
2519,1006,1008,1008,1008
2570,1006,1008,1009,1008
2621,1007,1008,1009,1008
2673,1007,1008,1008,1008
2724,1006,1008,1008,1008
2776,1005,1008,1009,1008
2827,1006,1008,1008,1008
2878,1005,1008,1009,1008
2929,1006,1008,1009,1008
2981,1006,1008,1008,1008
3033,1007,1008,1008,1008
3084,1006,1008,1009,1008
3135,1006,1008,1009,1008
3186,1006,1008,1009,1008
3237,1006,1008,1009,1008
3290,1007,1008,1009,1008
3341,1006,1008,1008,1008
3392,1006,1008,1009,1008
3443,1006,1008,1009,1008
3494,1006,1008,1009,1008
3546,1007,1008,1008,1008
3598,1006,1008,1008,1008
3649,1007,1008,1008,1008
3700,1006,1008,1009,1008
3751,1007,1008,1009,1008
3803,1006,1008,1009,1008
3854,1007,1008,1008,1008
3906,1007,1008,1009,1008
3957,1007,1008,1008,1008
4008,1006,1008,1008,1008
4060,1006,1008,1009,1008
4111,1007,1008,1009,1008
4162,1006,1008,1009,1008
4214,1005,1008,1009,1008
4265,1006,1008,1008,1008
4317,1006,1008,1009,1008
4368,1006,1008,1009,1008
4419,1006,1008,1009,1008
4470,1006,1008,1009,1008
4523,1006,1008,1008,1008
4574,1007,1008,1009,1008
4625,1006,1008,1008,1008
4676,1005,1008,1009,1008
4727,1007,1008,1008,1008
4779,1006,1008,1009,1008
4831,1007,1008,1008,1008
4882,1006,1008,1008,1008
4933,1006,1008,1008,1008
4984,1007,1008,1008,1008
5036,1006,1008,1009,1008
5087,1006,1008,1008,1008
5139,1006,1008,1009,1008
5190,1006,1008,1008,1008
5241,1006,1008,1009,1008
5293,1007,1008,1009,1008
5344,1006,1008,1008,1008
5395,1005,1008,1009,1008
5447,1006,1008,1009,1008
5498,1007,1008,1008,1008
5550,1006,1008,1008,1008
5601,1005,1008,1008,1008
5652,1006,1008,1009,1008
5703,1006,1008,1008,1008
5755,1006,1008,1009,1008
5807,1006,1008,1008,1008
5858,1006,1008,1009,1008
5909,1006,1008,1008,1008
5960,1006,1008,1008,1008
6011,1007,1008,1009,1008
